video_duration_sec,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count
50,649471,317456,42349,1072,46
5,40208,8018,1029,16,0
38,346555,70156,12343,605,94
20,812447,343371,79962,3608,528
6,391812,30875,1706,165,76
28,468758,78841,12464,1271,681
35,642888,21908,7009,412,122
35,633270,6077,1018,101,60
17,734203,296340,112802,6795,2745
44,939399,144236,31119,906,104
8,494881,32805,8934,534,198
27,886215,521651,114330,10943,4219
47,648343,233325,66078,4728,2122
12,56430,34026,4691,0,0
42,558866,187629,15527,4493,2012
36,91199,28946,3171,115,59
25,788517,307605,9543,4832,2067
45,115622,56824,13342,817,373
36,36741,4541,49,38,23
23,417233,217824,34725,357,66
16,509376,153342,34764,2281,1318
52,993601,360808,123543,2648,1377
29,511307,271981,20832,6673,2467
32,518655,105148,40590,1367,502
59,268145,112600,14468,2719,106
45,862840,435872,93125,1459,746
24,244746,15130,2944,180,62
37,210960,115814,36974,1855,467
12,111863,516,33,11,4
11,89566,45283,5417,137,21
42,444516,215982,12545,4987,756
49,226281,97360,28001,110,72
29,330402,171557,45777,1871,355
17,704208,133661,17715,368,51
24,519070,158598,54151,665,188
50,499826,309975,17914,7456,1333
50,167944,87441,6040,353,137
60,511854,312695,39685,376,133
60,684341,127101,7517,1741,1005
22,825852,479045,3712,9804,3127
52,683434,94655,37748,309,87
41,231712,12348,771,79,36
50,597742,178975,44473,1885,314
36,273182,81099,21955,1075,611
46,482106,228292,64845,1252,465
52,93598,52844,86,175,9
39,870656,137823,46313,2897,1696
5,441748,122633,13387,556,130
40,33738,614,3,6,3
42,934185,22021,8068,538,134
25,422912,248328,50384,4380,19
21,515255,7604,2738,22,10
17,749576,314896,61154,5917,1414
54,169966,87626,31020,536,58
58,629607,221678,18098,1467,389
23,49714,19166,2673,341,7
42,807048,185813,48347,4570,962
40,961772,469073,97414,8430,2801
43,148883,85580,34011,131,29
12,631388,337717,101692,2704,1298
48,939426,346894,107200,281,95
37,560115,259081,97881,3155,935
27,100810,46464,5054,326,47
49,859572,128379,2142,2633,1100
6,86449,20873,2412,395,154
19,22675,15038,4688,212,0
8,30448,988,206,25,16
23,569559,184470,14061,1468,173
47,813598,48172,948,942,401
6,506876,212303,15689,1428,760
46,682406,108826,1338,2661,1014
27,878248,400541,121970,3447,361
45,909325,314007,48135,6184,1278
18,881753,295676,7539,1611,417
53,179828,100089,9428,1529,518
5,414954,43839,2052,753,32
42,380857,160730,35354,1844,457
23,661093,180093,32820,3721,1338
20,612645,340472,6082,7560,1963
31,38266,7567,3012,136,14
10,392496,251922,30959,3538,299
8,175290,86677,1785,1819,391
38,430258,20195,3453,349,146
14,474105,312860,104143,5030,553
53,337386,55788,4060,1305,120
6,448341,280452,60986,1746,105
31,236413,78298,17635,621,389
35,549591,127657,17860,1984,781
46,315640,182597,37612,3309,1246
20,467018,268058,22841,2263,1064
57,794004,68594,1742,1166,324
16,119841,13171,2251,41,10
47,796512,186540,38277,3839,2131
25,390461,25079,7608,193,59
44,86880,18003,966,352,232
11,371447,99183,8684,470,63
15,128877,29885,4119,264,74
24,795212,123662,43300,345,48
9,255361,71078,1427,1368,448
33,911083,402307,128902,4807,2863
48,855783,355794,111958,8563,1991
20,223109,105943,21379,1689,162
26,137178,28660,11396,266,158
15,927524,145741,22076,607,328
38,532090,5265,100,114,22
20,133433,67969,26793,647,221
17,879928,378123,19315,5379,3383
41,770231,382002,34029,6944,3988
34,800390,413882,28689,8926,1975
49,883273,169172,39076,311,66
45,834772,304099,91292,1010,145
29,487677,298063,7485,4535,494
22,69375,19933,6979,491,57
60,485244,82596,30917,1114,539
58,495194,148995,31948,116,31
35,216659,38472,9521,647,392
5,999653,45323,12923,101,50
31,708456,183100,12592,884,253
43,786965,244088,12754,4839,2772
11,833032,385435,48811,9604,1735
50,398689,260997,31854,2475,779
20,578974,143812,3717,758,377
8,404233,58146,19761,903,414
19,945583,113936,339,867,568
56,794058,386372,101561,8564,228
23,414976,245153,82406,2235,828
9,201670,22128,7196,231,114
51,126115,63020,17190,1386,406
45,182579,114340,33746,2531,1101
23,349348,3974,1105,92,32
50,898054,74942,18695,1723,1076
44,268304,148803,45166,963,496
15,920073,411072,27692,5621,443
60,703576,223727,79682,4767,443
46,456405,39280,9624,810,274
17,102407,1181,242,12,3
48,752581,367283,36586,4315,1343
35,678567,69121,22827,1063,323
52,538890,303351,90741,920,20
10,164604,101080,24432,834,518
29,282723,23789,5528,175,29
19,566299,53087,20373,1035,667
9,408148,126518,27263,2675,1520
7,5449,2059,390,18,2
42,995657,461643,41649,3426,1313
9,102158,26569,8882,194,67
21,451481,109116,28414,370,196
58,996786,163087,37349,1003,266
52,113658,10917,2983,194,87
15,622326,200642,60549,0,0
55,296482,162056,32128,3064,831
57,886391,170911,1276,2325,1327
40,119760,65418,25378,930,503
19,424658,248004,81285,4267,1778
29,124130,70381,21174,437,100
18,134641,51795,5750,286,65
8,830188,19610,5703,472,212
30,76228,6588,515,29,18
57,366211,109460,28220,1277,241
15,182624,106303,38597,1886,969
52,232399,40645,9816,27,10
36,442090,180023,57697,2468,706
44,6333,1249,117,0,0
27,137526,18818,919,167,20
41,117824,46138,8321,728,270
30,566333,48788,13611,368,172
16,695866,143661,3044,810,317
10,915801,399156,136373,2510,1492
20,422005,3381,288,62,3
21,954562,287810,683,4154,2117
38,369986,157573,7911,1771,309
10,167202,110909,907,2732,426
40,858605,155161,37439,2828,668
6,939076,558974,148015,6258,1394
24,397866,109841,11122,792,493
19,210018,63283,13974,269,103
13,415761,198375,15804,3854,2529
52,604355,28646,994,653,266
18,799461,361540,29546,6789,4158
15,725400,210695,21119,2685,1671
16,128410,51318,19152,1166,684
25,564382,287643,92802,2926,515
31,670584,45941,11256,479,36
45,681106,398836,147979,3972,2388
58,434216,4930,1357,23,14
60,409997,74060,19465,1167,107
24,666605,175386,17020,4326,168
57,929686,34472,4226,250,113
40,707821,164680,3920,2476,1335
42,168026,109904,38060,88,41
29,907499,250081,69716,2407,1381
37,520209,68376,894,561,22
17,613559,368043,113662,7130,4288
31,845842,58357,13337,1283,293
50,135972,41157,11811,569,191
42,793347,72458,10127,819,418
59,853454,390849,66724,6028,3143
5,764289,198190,59863,4860,2710
9,599440,202674,58930,4822,1988
17,818162,196489,68653,457,179
48,478504,5188,614,6,1
30,901466,157308,8590,3868,1372
31,942782,349920,21094,5051,2293
31,560356,24717,4241,377,178
59,166118,62065,21664,1244,326
36,943836,615509,77624,10300,3675
48,308048,28979,4165,724,476
57,469978,89730,3040,1822,1136
13,789968,78073,23780,16,7
59,57391,11798,1562,243,103
15,979623,305608,95625,3833,1088
47,838648,375687,57254,2725,1502
14,154524,37790,4071,4,1
48,662236,336652,115074,447,197
35,172792,40124,13764,948,183
18,363304,71403,6499,1353,279
25,972177,246905,75730,2208,151
38,667938,253989,43267,2658,1577
56,943178,59640,10,522,296
40,835227,387907,16920,3068,2013
29,75999,4140,786,68,36
6,653280,200395,40859,4134,788
54,841144,176677,49643,2387,682
26,792725,244271,4279,2055,395
51,318041,167749,56314,3620,274
50,499744,260963,68133,6179,2627
5,582955,86748,7182,865,21
15,238311,126167,10412,2122,699
6,873409,157035,4962,2076,687
48,827022,376705,104682,8063,544
31,972320,449084,169228,4670,1355
11,267499,164621,16314,127,75
14,432360,201764,63233,872,460
42,389238,211611,68792,3330,621
44,305816,158361,2635,1006,423
36,551503,257248,12905,4017,1568
58,307235,134023,37188,1470,20
51,263205,104137,6507,2507,1205
56,699716,388662,129743,9645,2748
37,134096,34222,9417,599,23
25,628191,331352,119547,3779,1390
5,284127,10596,4118,56,24
28,163796,77803,4408,1087,454
8,935721,290697,41017,775,502
19,593497,68324,20712,1694,719
10,661494,101284,16460,849,421
20,706925,322654,75112,4974,2869
11,703635,170092,65369,3721,1933
25,219449,94504,26593,1314,652
56,140665,27827,7062,681,121
45,490475,299386,103409,6247,3734
56,847359,514108,60603,8393,2068
26,157988,72701,3281,1150,345
44,374682,241181,53180,1231,599
24,807978,182359,15139,156,31
16,798087,503764,162965,12023,2228
11,923567,304484,117252,4416,2846
32,420278,53932,998,729,214
38,708931,333934,85569,1512,271
31,32922,14600,4862,142,5
50,308006,164734,54432,2337,908
33,366793,196608,61838,2866,949
28,174182,53834,18868,766,26
46,890827,30352,10728,329,1
42,839787,132074,12867,348,82
9,175806,73704,15052,1477,885
41,77008,42330,15315,882,115
42,676103,217656,65553,4628,2398
45,929535,245945,485,2192,632
33,730734,226709,6856,927,216
28,600711,46548,3910,716,205
42,276922,88899,25210,1259,312
50,689411,12049,1206,127,26
24,957429,371495,129716,7970,3016
34,389440,259544,77289,5242,1128
19,759040,343664,70369,5620,2247
15,526579,318171,74868,1819,92
35,615937,195483,61552,3419,404
35,469822,208520,33217,1612,583
26,936228,189831,69964,544,158
23,297080,195360,48408,2394,736
14,43055,8648,1946,166,88
21,916073,291977,85408,929,313
14,916230,531141,8019,3803,1402
18,185095,52011,7368,542,80
15,680134,324440,39232,3724,1310
42,284334,155859,9616,1921,940
33,33179,6509,326,9,6
7,504906,279461,1715,3812,1867
48,703727,420661,140821,4146,2426
49,81203,6079,1414,55,3
54,356338,92140,19590,1223,95
55,304722,19494,4928,32,6
60,436211,37153,12912,538,28
15,934767,3543,1160,30,3
9,199856,64680,24329,688,381
54,986040,304573,78365,3887,2390
9,531325,235084,11590,4630,2689
17,656792,385709,90643,4764,1216
45,633862,13702,2583,104,62
56,170263,58478,10703,753,281
16,97778,36159,3153,362,30
20,89267,32398,2051,180,25
8,65693,3815,117,61,39
57,657987,374565,81371,6130,429
55,24618,11937,2880,243,0
30,507073,321313,127099,2263,8
26,338414,7937,879,182,11
41,694606,442974,28056,21,4
55,792899,475094,135735,1441,24
25,337206,99176,26553,1912,636
48,673936,130682,27052,108,16
17,652755,315978,35014,1374,681
29,952461,531630,92076,12896,1210
46,122811,52657,15000,941,8
22,982069,260301,35815,220,79
49,924552,441566,107578,1042,332
54,262136,12418,286,108,48
38,10098,4681,790,12,8
50,737704,361389,20332,3223,1308
21,60649,35453,12393,541,142
24,226666,59804,5862,945,103
56,491218,302164,18472,1479,258
33,659031,434135,69579,9302,2900
31,129725,80331,20695,797,375
55,387826,111882,36168,1037,302
37,790211,220994,67094,3987,176
27,891247,383476,56042,5463,91
27,888297,98575,5695,725,148
20,251857,8694,2870,29,3
15,62298,10935,4056,137,59
58,253587,7754,1238,54,9
53,561540,207372,30326,1728,930
14,194269,88888,8966,569,114
24,533024,84486,13418,1257,180
9,378782,233894,60898,890,248
39,959225,309911,90505,1787,443
42,26335,7751,343,87,50
12,821129,7253,2231,134,62
51,269086,176635,27837,248,127
49,224903,68796,9261,96,48
7,156230,44179,6701,88,50
51,918397,432314,125254,3820,2245
42,841983,400626,149450,6791,2601
48,688052,110882,22116,299,35
8,448764,271801,97922,2517,1033
39,758340,312275,124340,6019,3776
11,566414,242529,11456,1530,237
40,220116,112925,40427,2212,1320
26,945933,498682,197501,11010,3997
59,854106,421844,59824,6990,4563
24,149004,16756,2184,215,137
54,958147,119322,7176,1053,99
32,592207,112687,41862,1291,797
34,230799,48174,4275,1084,56
16,565211,139267,11740,1659,503
28,513162,314011,10060,952,200
5,977463,629774,51668,3070,929
14,751128,147728,13724,622,290
42,416627,145473,39614,2868,610
48,551288,221517,13070,2272,1489
30,917806,42025,3149,157,41
44,4273,448,44,8,4
49,707793,284791,34918,4879,94
18,200342,8011,2904,31,1
22,354243,101292,36126,461,68
58,82800,42505,14322,651,240
51,680896,297728,97571,267,7
16,828691,99142,13119,1657,1
39,679162,257536,67064,5053,1312
26,987569,334118,37959,4035,29
6,241521,131878,23266,1880,1140
15,600945,317298,123711,2932,492
48,94005,12550,3923,244,15
6,859761,516756,67018,12804,4735
11,865338,405966,87116,1437,398
8,637445,49325,16493,879,525
25,994187,575368,182346,7006,4489
13,932421,193414,75325,1438,378
43,611092,1678,323,33,6
26,770413,173949,46011,3172,127
16,740421,264535,31371,2428,263
58,931288,66821,14459,1438,654
55,988637,328922,91908,4145,948
58,630199,106043,7354,2192,218
42,335995,149608,32015,378,200
60,606137,331649,110749,1098,649
58,25987,914,196,14,6
56,251191,107304,15736,1058,20
39,724314,368448,52071,7775,1417
13,234438,83916,13604,339,19
26,782347,434115,3377,5895,347
32,471667,88394,20687,2031,229
56,413102,98367,21218,1615,198
15,225757,89957,3606,890,242
60,982053,471576,105124,7378,4079
45,152221,1714,391,41,21
24,82116,12314,3276,48,4
6,405107,82702,394,349,159
41,144024,78854,10969,1884,170
9,627280,142532,2336,1090,515
52,698994,412281,158850,584,121
9,159246,97450,3837,1091,409
27,817952,19182,4477,324,12
49,890768,193431,51911,912,220
47,403992,145194,18055,2268,1002
28,392918,174120,26318,1890,123
18,101862,61279,13395,554,107
14,699054,252295,49315,109,21
36,80848,14390,548,342,83
44,168979,106116,26076,1346,645
20,571949,119241,16108,678,38
10,175035,93859,32450,1509,330
30,125796,52429,12428,890,318
45,961557,47236,15897,986,60
12,220699,31651,3762,185,63
50,509498,75237,6616,1049,412
17,370955,201135,40381,22,3
17,713527,125472,45251,2136,222
29,721285,79004,4240,1280,554
10,50764,282,59,4,1
13,512778,71994,12885,1381,508
13,236952,69476,11669,150,93
30,616994,163515,26883,1064,120
31,394147,260257,48534,1940,193
11,680129,181819,42592,11,6
25,83508,39008,4277,114,24
6,588106,57705,6956,335,75
11,116774,41224,14179,341,158
28,969714,498146,186686,7334,1250
16,677421,447292,121349,3813,868
5,17136,728,139,10,5
24,410030,233301,54953,5359,2433
60,873157,222286,61994,2935,662
29,378019,110484,19933,1416,459
38,463669,293444,67931,7042,2560
27,218127,60700,18985,454,79
57,523866,38141,8869,904,501
24,137701,48556,17629,886,29
54,524184,168561,63285,726,404
17,415150,269193,50992,3955,2420
59,608068,386163,30447,1343,648
31,612899,365292,12034,4252,1137
20,757330,128030,9917,859,210
51,211390,67559,7915,495,306
11,598954,15794,3532,320,80
20,887458,34680,9245,832,528
52,37896,5686,2057,57,35
18,226816,130553,52016,2583,1522
27,690782,32573,1437,220,91
45,456853,277229,14415,2860,1267
54,718521,323885,74616,2829,887
6,630166,372349,121512,3252,1184
11,452046,261778,4292,2734,1720
28,764700,6834,2687,57,18
37,475651,255517,32513,55,34
41,315373,16355,4384,0,0
23,739411,122464,13194,948,152
41,379175,36530,445,124,78
49,528708,149206,54737,2789,591
36,336864,170374,16644,2926,847
40,871044,374782,26675,4688,80
26,824203,320571,99029,6501,3195
37,251631,97147,10783,1968,354
40,742683,334301,112573,4974,1526
45,389280,209190,7544,2937,1671
49,226607,115698,37706,237,50
56,820061,306971,3811,2110,403
11,483405,212466,58308,2972,1546
57,12171,3066,629,75,16
51,154859,90232,9582,2149,588
28,660344,183914,44777,2797,874
42,300411,6209,108,111,58
30,530433,147636,22124,171,21
28,494576,271350,66412,6622,1000
33,920306,27507,2455,354,127
44,377294,42403,2429,368,77
20,471646,212978,71304,3485,43
38,737557,435805,88149,9690,3486
51,116368,72851,601,1112,163
10,50949,26648,3939,658,100
40,320192,6263,1967,55,21
50,817828,489021,41159,5823,3774
13,370008,220768,11069,2383,1155
53,70293,45346,11125,500,278
20,981443,350318,105730,7465,4192
18,510013,189623,15775,3125,1390
39,401909,80149,13544,853,320
52,738552,480868,190483,3211,1418
56,948044,307161,108855,7548,4908
38,445225,267550,64808,5680,2554
28,516243,61108,17206,1313,735
8,760598,53449,7569,965,290
14,314822,40415,7850,924,437
30,7663,1790,384,24,16
28,372534,204943,19325,241,12
28,771008,348320,22684,7455,406
50,406913,120069,42901,2808,1636
25,718214,69039,19503,1573,73
10,239412,106904,38335,2362,1271
23,343270,85914,10168,1452,670
58,278034,56298,15009,73,34
39,247513,20868,4995,98,25
53,773173,2511,787,29,6
45,722917,316634,45065,6768,3135
10,737595,195716,41750,2072,1210
31,831217,7158,1799,129,58
44,99658,24185,5670,237,106
54,674321,439720,148470,5062,2656
45,908375,520135,35962,440,176
58,740587,146978,41470,3147,1504
39,110263,44275,1558,819,32
8,581402,346747,48568,4967,1145
60,511913,317235,82284,7871,2986
15,379980,227580,22806,4276,383
60,468131,62843,21852,485,132
30,406689,242497,53962,2783,1450
5,229516,86496,8078,1253,307
42,774356,252032,71034,4946,1561
24,736627,452109,119552,10106,4762
52,180830,118791,20354,539,188
31,514878,158577,28424,1833,914
54,475617,69386,26565,984,491
30,437068,198227,65361,1402,694
26,453041,195108,33915,663,144
31,175754,75973,10778,1003,119
17,363281,48106,17865,780,394
39,599446,191928,8847,3135,848
27,535862,263394,1742,191,59
10,885899,89968,19742,924,160
30,446878,196125,58464,882,341
13,556437,87011,8276,1860,663
45,429090,105530,34643,617,105
46,566630,105302,34714,328,208
32,512365,71602,16170,1364,340
21,297434,125415,34186,153,49
11,35913,12303,1931,92,2
14,196834,94857,7450,363,238
6,389888,255409,12334,4080,1608
25,706602,247228,98487,2246,833
11,644895,161369,8550,2501,549
55,226052,12294,4006,306,99
34,690343,328311,65319,1726,280
49,398060,233002,89814,3222,68
47,692837,56336,7251,1311,442
58,201433,43531,5556,463,222
39,94390,2885,531,40,18
48,650262,16903,660,49,25
56,485334,203812,75758,1668,817
60,613871,178514,25441,2934,1182
25,649905,178130,65604,1160,421
34,179440,108857,22306,2638,364
51,922421,181720,53641,4469,709
30,260451,131997,15814,760,8
20,110226,62537,19035,824,312
20,67628,29091,5778,431,105
54,254693,138580,2518,2072,313
43,594556,207098,57793,3218,2051
45,995075,43291,4738,719,139
11,220242,95550,1873,1089,172
16,541004,27434,9067,596,14
58,661493,290063,71455,3982,452
51,977593,507065,195616,10372,684
41,123579,81783,7502,1450,323
38,823087,504190,157217,12266,74
55,188396,40326,13302,457,115
48,142649,23189,2774,419,67
28,521704,279112,47440,2321,517
12,951301,406510,20718,1249,571
22,336366,92349,27489,2032,1312
36,890318,203052,21396,2953,115
41,873269,526213,112887,5089,245
21,657146,218199,32998,3993,1939
54,431393,7075,445,61,38
20,559322,91860,10181,492,110
26,81640,37034,9534,521,336
6,724254,183390,38403,2999,1563
30,702492,463380,179124,9366,5635
5,303180,19438,652,274,140
15,51424,5280,1970,129,40
41,57169,3080,371,18,2
12,705765,266756,73872,296,19
47,442881,132435,38811,1875,85
6,94027,21871,4653,31,4
5,20483,3687,323,58,2
6,631669,388904,152370,626,371
58,266020,95834,25225,374,52
45,39300,7365,1287,57,20
58,694706,160155,677,3856,1662
29,147732,22400,1033,123,44
40,212619,78651,5329,1697,563
41,210517,46238,16450,212,17
18,571664,324807,10389,3484,1505
57,766233,40449,7267,788,407
25,498167,50477,7447,103,9
16,83048,17820,2935,139,27
34,782248,14299,1508,114,62
30,997994,344027,88788,5099,2375
15,476844,157908,39770,2259,1184
51,179903,42817,16220,389,54
58,687398,11130,4022,248,20
41,469445,281354,32466,1289,498
48,37938,15616,4554,244,126
27,442496,210738,13411,2450,1513
49,22073,11831,3016,127,6
7,363118,233550,12318,520,164
30,230115,39552,3738,146,41
32,922941,481053,150366,483,183
9,662329,38102,9312,877,41
41,10749,6097,1437,10,5
24,204711,11491,965,157,3
38,126391,81658,13527,1604,479
45,331443,84994,7137,416,161
36,351631,190732,21820,2252,1350
30,72112,2731,152,23,7
28,552751,358035,108966,5318,1665
11,965242,275119,37090,3741,687
15,222981,111329,33482,1624,212
59,56008,22158,4892,124,60
32,153861,45498,11257,837,212
46,262103,167539,27964,2094,1270
6,15815,8722,2225,213,62
15,108788,7498,2420,38,8
7,760858,710,195,3,1
36,9559,4594,227,82,11
55,707836,307500,91681,2896,1001
10,898614,212559,16779,137,69
14,709982,434044,78039,1695,184
34,133024,63313,18610,968,268
50,305122,118657,25752,739,250
20,368220,52987,14168,1088,711
35,299458,82520,10502,940,207
8,769936,132411,25776,821,174
13,382715,3847,935,1,0
29,784011,234284,79800,2349,1149
42,880012,253501,8834,2153,900
25,24629,7837,2758,34,22
56,274568,74047,18346,567,178
16,380392,133264,9916,3040,903
25,138158,9948,1949,208,48
39,257679,98159,26574,251,141
47,400758,220320,8680,2032,1158
18,199457,119452,29008,2210,662
41,551478,350861,44808,3568,1327
52,928229,397337,37263,9073,5909
46,740234,363270,95048,8498,5511
11,133906,84021,4623,1981,472
42,998863,602140,215612,12101,2204
6,953784,406769,57819,4102,1486
45,358567,223813,78905,5573,2359
41,270286,41683,1215,821,412
20,888082,488460,76670,5611,1504
25,839407,411402,87088,1044,695
24,136439,10177,562,131,14
36,907450,197795,46245,2040,630
35,797184,57035,13965,1030,536
27,968626,429529,124129,3599,1921
20,136149,31188,7787,75,31
23,381535,197700,28528,4275,1962
35,984490,303149,72417,4309,1236
29,416561,254460,91449,2280,897
41,509168,242023,60850,5431,3151
40,893375,236699,66953,5425,2253
6,230345,122466,18662,489,13
39,966137,136945,10075,3185,1078
41,938748,13887,2796,142,63
59,36502,3854,1360,7,1
53,292105,155535,5782,1439,163
48,987640,218613,69609,722,369
58,282507,122199,36513,941,356
33,758578,263241,88716,1598,725
50,645514,369386,117120,4161,909
12,610873,67259,1976,851,36
11,81146,10025,96,198,20
25,892979,3252,997,81,25
60,156360,102686,26955,1139,480
35,581201,13981,1910,172,80
17,822252,201697,46885,1883,777
32,660713,99583,21927,1571,249
22,634144,260242,48427,3512,1921
31,711220,146228,57780,2511,41
35,441797,239775,75741,5811,3225
57,605929,173247,13292,1401,103
53,418699,63414,21038,1301,599
45,543250,76710,5384,1674,916
22,570420,96819,18796,2386,1089
55,43972,24661,5856,488,285
12,215213,38588,3281,713,205
25,698461,298688,9520,1049,550
39,483921,88351,12788,672,379
24,416143,211418,74574,3125,2075
25,441013,60774,15164,358,216
10,404098,109404,17424,1785,193
7,508553,17352,6430,113,22
29,928241,238864,71578,1674,510
53,227654,62692,19754,973,426
7,845077,17410,1078,341,191
46,906739,142137,24153,605,94
31,445359,240269,67186,924,341
8,47460,7080,2021,38,9
19,335083,169068,33472,1787,5
44,895688,523217,147890,6417,290
48,912481,322137,40562,1208,405
21,666539,323823,109357,2091,319
24,750249,410719,41226,2054,611
33,505085,98842,8433,1245,87
5,512046,7896,2652,165,47
9,746580,383216,59572,7926,4240
31,350571,105631,23205,781,153
55,445607,254731,15044,1371,399
57,324890,142582,24124,235,137
10,948297,111985,489,737,290
49,855369,150843,37547,927,434
36,19370,12052,1973,81,40
26,555780,106863,15348,252,91
13,853378,278195,87607,1359,114
19,645333,390970,45862,8588,2814
50,366699,158776,4120,3329,1207
19,250185,59412,12506,444,79
45,345016,64113,5744,541,160
27,16035,9450,1161,24,6
19,40631,19747,7627,425,82
42,2943,465,4,9,4
56,358794,175097,12385,311,78
54,714233,195831,62540,3746,1958
23,952562,225668,55671,2277,1235
40,382066,216114,57639,1521,206
44,74616,15375,4378,110,68
53,388812,34382,9672,206,20
38,264141,163703,36885,3034,1411
