#,video_id,video_duration_sec,video_transcription_text,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count,deep_engagement_rate,share_to_like_ratio,is_highly_shareable,complexity_score,claim_status_opinion,verified_status_verified,author_ban_status_banned,author_ban_status_under review,llm_sentiment_score
12054,8989024600,54,my reasoning is that 1 billion cars are currently in use around the world,157.0,32.0,10.0,0.0,0.0,0.39490445859872614,0.3125,1,1.0,True,False,False,False,0.0
11217,4582039367,42,my point of view is that the scottish were the first people to fry chicken,2125.0,516.0,173.0,11.0,0.0,0.5025882352941177,0.33527131782945735,1,0.9333333333333333,True,False,False,False,-1.0
10701,7972268462,13,"my friends feel that the most recorded song in history is ""summertime"" written by george gershwin and dorothy heyward",3437.0,1102.0,119.0,27.0,2.0,0.449228978760547,0.10798548094373865,0,1.0,True,True,False,False,0.0
4555,6476773605,22,"i learned  on an internet forum a claim that the voyager spacecrafts have carried a recording of chuck berry's ""johnny b. goode"" out of our solar system",301810.0,71311.0,27045.0,1347.0,881.0,0.524333189755144,0.37925425249961436,1,0.9285714285714286,False,False,False,False,1.0
12700,7725249197,57,our understanding is that kite flying is a professional sport in thailand.,5770.0,1442.0,450.0,22.0,7.0,0.4977469670710572,0.3120665742024965,1,0.9166666666666666,True,False,False,False,1.0
2857,7173131729,46,a friend read  in the news that the chinese began to document halley’s comet in 240 b.c.,598217.0,312441.0,75662.0,2947.0,448.0,0.9180013272775598,0.24216412058596662,0,0.8947368421052632,False,False,False,False,1.0
16743,8059552137,36,my colleagues' reasoning is that sputnik was the first artificial satellite in space,249.0,78.0,7.0,2.0,0.0,0.42168674698795183,0.08974358974358974,0,1.0,True,False,False,False,0.0
323,6282118566,27,a friend reported someone revealed that kite flying is a professional sport in thailand.,137526.0,18818.0,919.0,167.0,20.0,0.16081322804415166,0.048836220639812945,0,0.9285714285714286,False,False,False,True,1.0
16768,8021305195,59,"my colleagues' reasoning is that blue whales eat 500,000 calories in 1 mouthful on average",1829.0,213.0,25.0,1.0,0.0,0.15910333515582287,0.11737089201877934,0,1.0,True,False,False,False,1.0
8876,4114373394,46,someone discovered on the news a claim that some sharks can glow in the dark,112976.0,14582.0,4383.0,213.0,48.0,0.25196501911910496,0.30057605266767246,1,0.9333333333333333,False,False,False,False,1.0
17597,1886789567,7,i am willing to bet that elvis presley has sold more records than the music band the beatles,3262.0,788.0,237.0,5.0,0.0,0.46413243408951566,0.30076142131979694,1,0.9444444444444444,True,False,False,False,0.0
10366,3381271880,14,my family feels that smelling green apples help with weight loss,6040.0,2246.0,710.0,44.0,6.0,0.7483443708609272,0.3161175422974176,1,1.0,True,False,False,False,0.0
13337,2964141931,57,our hypothesis is that the number of businesses allowing employees to bring pets to the workplace has grown by 6% worldwide,8166.0,3346.0,989.0,30.0,6.0,0.7855743325985795,0.29557680812910936,0,0.9047619047619048,True,False,False,False,0.0
4937,6557653071,42,i learned  on a website a claim that the longest possible train journey in the world is from portugal to singapore,81095.0,29950.0,2660.0,431.0,83.0,0.4857142857142857,0.08881469115191987,0,0.9047619047619048,False,False,False,False,1.0
7948,8507249993,29,someone discovered a report claiming that one strand of hair can hold up to 3 ounces of weight,737953.0,432734.0,15923.0,8887.0,2795.0,0.6948328687599346,0.03679627669653875,0,0.9444444444444444,False,False,False,False,1.0
18586,6385854148,60,i am convinced  that triskaidekaphobia is the fear of the number 13,6196.0,943.0,33.0,10.0,0.0,0.17301484828921884,0.03499469777306469,0,0.9166666666666666,True,False,False,False,1.0
8754,7196580736,35,a friend discovered on the radio that playing dance music helps ward off mosquitoes,37810.0,6427.0,1158.0,100.0,60.0,0.27297011372652735,0.18017737669208028,0,1.0,False,False,False,False,1.0
11224,1515083408,19,my point of view is that j is the only letter that doesn’t appear on the periodic table of elements,933.0,4.0,0.0,0.0,0.0,0.004287245444801715,0.0,0,0.8095238095238095,True,False,False,False,1.0
9878,2708922836,16,i understand that violin bows are made from horsehair,5787.0,1878.0,517.0,20.0,5.0,0.6046310696388457,0.27529286474973375,0,1.0,True,False,False,False,0.0
15393,1600621238,37,my family's sentiment is that leeches were historically used to predict the weather,7168.0,1233.0,268.0,29.0,11.0,0.2993861607142857,0.21735604217356042,0,1.0,True,False,False,True,1.0
13644,9994544169,44,my friends' view is that a pineapple plant can only produce one pineapple a year,4645.0,1093.0,67.0,25.0,5.0,0.2968783638320775,0.06129917657822507,0,0.8666666666666667,True,True,False,False,0.0
18300,7246913350,12,my colleagues are willing to say that leeches were historically used to predict the weather,5138.0,1079.0,12.0,2.0,0.0,0.2181782794861814,0.011121408711770158,0,0.9333333333333333,True,False,False,False,1.0
19035,5505553974,43,in our opinion bathwater stays warmer for a longer duration with bubbles,2254.0,81.0,21.0,0.0,0.0,0.06388642413487133,0.25925925925925924,0,1.0,True,False,False,False,1.0
3479,5336340458,9,"someone learned  on a website that a single lightning bolt has enough energy to toast 100,000 slices of bread",58039.0,24684.0,5363.0,283.0,26.0,0.7180344251279313,0.21726624534111166,0,0.95,False,False,False,True,1.0
5466,4172689138,33,"i read  on social media that one type of parrot, kea parrots, laugh together when they're in a good mood",858524.0,501235.0,117357.0,11126.0,180.0,1.0332198051539618,0.23413568485839975,0,1.0,False,False,False,False,1.0
13074,2610594021,38,our position is that the car radio was first introduced in 1922,9031.0,3029.0,705.0,35.0,0.0,0.5812202413907651,0.23275008253549026,0,1.0,True,False,False,False,1.0
11210,6102958601,17,my point of view is that there’s a planet made of diamonds two times the size of earth,5109.0,1368.0,261.0,34.0,8.0,0.44411822274417695,0.19078947368421054,0,0.8947368421052632,True,False,False,False,1.0
6000,8908628462,56,a colleague learned  on an internet forum that the most productive work day of the week is tuesday,957189.0,598570.0,136913.0,2741.0,66.0,1.0631797899892288,0.22873348146415623,0,0.9444444444444444,False,False,False,False,1.0
16420,1569275768,16,my colleagues' feeling is that austrian physicist erwin schrödinger was allergic to cats,5741.0,1699.0,624.0,20.0,6.0,0.6345584392962899,0.36727486756915834,1,1.0,True,True,False,False,1.0
5621,3256709854,36,i read  on a website that the number of businesses allowing employees to bring pets to the workplace has grown by 6% worldwide,173159.0,36040.0,3333.0,897.0,519.0,0.2874121472172974,0.09248057713651499,0,0.9130434782608695,False,False,False,False,1.0
5059,7125228694,48,i learned  from the news a claim that baby spiders are called spiderlings,100934.0,24414.0,7571.0,110.0,9.0,0.470356866863495,0.31010895387892196,1,1.0,False,False,False,True,1.0
7718,9983449561,52,someone read a report claiming that adult cats only meow to humans,837794.0,497308.0,119503.0,1589.0,463.0,1.0283076746789783,0.24029977398312516,0,1.0,False,False,True,False,1.0
2481,8751731341,27,a friend read  on an internet forum a claim that up to 20% of power outages in the u.s. are due to squirrels chewing through the lines,807316.0,54584.0,138.0,1092.0,283.0,0.07288348057018565,0.002528213395866921,0,0.8928571428571429,False,False,False,False,0.0
8123,4513435744,7,i encountered a story claiming that antarctica is the only continent without any reptiles or snakes,190476.0,69892.0,15687.0,57.0,31.0,0.6152271152271153,0.22444628855949178,0,1.0,False,False,False,False,1.0
11512,8858570897,55,my thinking is that black cats are good luck in britain and japan,7194.0,398.0,73.0,3.0,1.0,0.08729496802891298,0.18341708542713567,0,1.0,True,True,False,False,1.0
3252,1748669850,19,someone learned  from the media a claim that sweden has the most islands of any country,739071.0,366104.0,120515.0,3953.0,279.0,1.001346284727719,0.32918241811070076,1,0.9375,False,False,False,False,1.0
14505,5368199977,39,my friends' belief is that the sound of knuckles cracking is actually gasses that are released when pressure is put on them,6718.0,1591.0,96.0,9.0,3.0,0.28460851443882107,0.06033940917661848,0,0.8636363636363636,True,False,False,False,1.0
6734,4315085953,20,"a colleague read  online a claim that every three seconds, there is a birth taking place somewhere in the world",613316.0,180692.0,67353.0,1818.0,565.0,0.6348032661792616,0.37275031545392157,1,0.9,False,False,False,True,0.0
439,7258526430,26,a friend claimed someone revealed that the largest pair of eyes in the world belongs to the giant squid,936228.0,189831.0,69964.0,544.0,158.0,0.42903117616648934,0.3685594028372605,1,0.8947368421052632,False,False,False,False,1.0
6770,1839463830,44,a colleague read  on an internet forum that a shape with 26 sides is known as a rhombicuboctahedron,707195.0,136918.0,8612.0,2595.0,419.0,0.2423334440995765,0.0628989614221651,0,0.8888888888888888,False,False,False,False,0.0
14234,8641728437,19,my friends' position is that humans will live on mars by 2035,2848.0,968.0,76.0,8.0,1.0,0.42907303370786515,0.07851239669421488,0,1.0,True,False,False,False,1.0
2190,6860107993,35,a friend learned  from the media that new elements have been discovered outside the periodic table,462524.0,34193.0,7401.0,97.0,7.0,0.1225903953092164,0.21644781095545873,0,0.9375,False,False,False,False,1.0
17998,2049460646,43,my family is willing to say that butterflies taste with their feet,7369.0,2102.0,7.0,37.0,2.0,0.30370470891572804,0.003330161750713606,0,1.0,True,False,False,False,1.0
8038,6270536812,8,i read a story claiming that cats sleep for two-thirds of their lives,658119.0,34950.0,38.0,218.0,53.0,0.05443392456379469,0.0010872675250357653,0,1.0,False,False,False,False,1.0
19083,7425795014,8,in our opinion lightning strikes somewhere on earth about 100 times every second,3394.0,655.0,123.0,11.0,4.0,0.3137890394814378,0.18778625954198475,0,1.0,True,False,False,False,1.0
17552,3881452578,22,i am willing to wager that buttermilk does not contain any butter,76.0,23.0,5.0,1.0,0.0,0.5394736842105263,0.21739130434782608,0,1.0,True,False,False,False,1.0
9321,2559153812,42,a colleague discovered on the news that the cheetah is the fastest land animal on earth,838741.0,284576.0,63375.0,4041.0,661.0,0.5819984953638847,0.2226997357472169,0,0.8125,False,False,False,True,1.0
11490,7251387661,7,my thinking is that it is illegal to waste food in french supermarkets,285.0,67.0,3.0,1.0,0.0,0.2771929824561403,0.04477611940298507,0,0.9230769230769231,True,False,False,False,-1.0
2409,1434510000,52,a friend read  on an internet forum that mercury & venus are the only 2 planets in our solar system that have no moons,831306.0,247693.0,97702.0,4016.0,179.0,0.6654649431136068,0.3944479658286669,1,0.9565217391304348,False,False,False,False,1.0
12069,3028305275,26,my reasoning is that one-third of the world’s airports are located in the u.s.,2581.0,578.0,93.0,6.0,1.0,0.3397907787679194,0.16089965397923875,0,0.8823529411764706,True,True,False,False,0.0
13022,6200486736,46,our sentiment is that humans can’t taste food without saliva,2634.0,779.0,75.0,6.0,0.0,0.3880030372057707,0.0962772785622593,0,1.0,True,False,False,False,1.0
1035,6713724391,44,i mentioned an expert revealed that the microwave oven was an accidental invention,808987.0,24208.0,7484.0,92.0,10.0,0.058042959899232,0.30915399867812293,1,0.9230769230769231,False,False,False,False,1.0
2879,1452954650,52,a friend read  in the news that the earth holds about 11 quintillion pounds of air,459618.0,121845.0,37354.0,990.0,208.0,0.5162830872594197,0.30656982231523655,1,0.9375,False,False,False,True,1.0
17312,5570417980,34,my friends say that it takes an average of 364 licks to get to the center of a lollipop,6907.0,1775.0,171.0,24.0,3.0,0.3425510351816997,0.09633802816901409,0,0.8947368421052632,True,False,False,False,1.0
15770,5293106510,37,my family's hypothesis is that snakes can predict earthquakes,9774.0,2892.0,78.0,47.0,10.0,0.33630038878657664,0.026970954356846474,0,1.0,True,False,False,False,1.0
16925,2625081598,18,"my colleagues' hypothesis is that shanghai, china has the world's longest subway system",3419.0,291.0,47.0,0.0,0.0,0.12635273471775374,0.16151202749140894,0,1.0,True,True,False,False,1.0
10199,3637450945,42,my family understands that the car radio was first introduced in 1922,5322.0,1773.0,464.0,4.0,0.0,0.59695603156708,0.2617033276931754,0,1.0,True,False,False,False,1.0
12912,7779822978,28,our feeling is that it takes an average of 364 licks to get to the center of a lollipop,7907.0,1272.0,249.0,20.0,4.0,0.2639433413431137,0.1957547169811321,0,0.8947368421052632,True,False,False,False,0.0
11225,7203216990,56,my point of view is that humans can’t taste food without saliva,4053.0,1469.0,565.0,14.0,5.0,0.7934863064396743,0.38461538461538464,1,1.0,True,False,False,False,1.0
13230,3183902614,48,our reasoning is that children are born less frequently on saturdays,4943.0,1856.0,666.0,28.0,2.0,0.7974914019826017,0.3588362068965517,1,1.0,True,True,False,False,0.0
8775,6631480698,5,a friend discovered on the radio a claim that an octopus has three hearts,792195.0,157728.0,7633.0,1589.0,601.0,0.23554301655526733,0.048393436802596876,0,0.9285714285714286,False,False,False,True,1.0
10424,1459706523,46,my friends think that some sharks can glow in the dark,7205.0,2064.0,745.0,8.0,2.0,0.6005551700208189,0.36094961240310075,1,1.0,True,False,False,True,1.0
9330,1468491781,21,a colleague discovered on the news that captive ravens can speak better than parrots,715043.0,85731.0,30750.0,1322.0,840.0,0.2568055347720347,0.3586800573888092,1,1.0,False,False,True,False,1.0
9000,7786341359,31,someone discovered on the radio that the longest commercial flight in history took around 30 hours,133392.0,6460.0,1725.0,67.0,13.0,0.08892587261604894,0.26702786377708976,0,0.9375,False,False,False,False,1.0
14159,1687538970,19,my friends' sentiment is that 90% of the world’s data was generated after 2019,6551.0,1642.0,105.0,9.0,1.0,0.3031598229277973,0.06394640682095006,0,1.0,True,False,False,False,1.0
13044,1269553787,8,our sentiment is that melting glaciers make fizzy noises,3846.0,1293.0,140.0,1.0,0.0,0.44617784711388453,0.10827532869296211,0,1.0,True,False,False,False,0.0
3508,5038734489,25,someone learned  on a website a claim that the longest commercial flight in history took around 30 hours,291751.0,152855.0,5735.0,3654.0,1646.0,0.6317510479826975,0.037519217559124664,0,0.9444444444444444,False,False,False,True,0.0
15590,7324311017,13,my family's reasoning is that the average american spends time totalling 2.5 days annually looking for lost items,5393.0,806.0,202.0,8.0,3.0,0.26738364546634524,0.2506203473945409,0,1.0,True,False,False,False,1.0
18672,1444257325,54,my friends are convinced  that bubble wrap was originally designed to be used as wallpaper,5108.0,1236.0,244.0,17.0,2.0,0.39604541895066564,0.19741100323624594,0,1.0,True,False,False,False,1.0
10865,2596488270,10,my colleagues think that bees can fly higher than mount everest,9613.0,2237.0,21.0,19.0,7.0,0.24664516800166442,0.009387572641931158,0,1.0,True,False,False,False,0.0
9586,7514719819,48,a colleague discovered on the radio a claim that reindeer grow new antlers every year,547743.0,324228.0,45400.0,4945.0,689.0,0.8701909472142958,0.14002492073479156,0,0.9333333333333333,False,False,False,True,1.0
14615,1967176863,17,my friends' hypothesis is that flossing your teeth improves memory,8262.0,2399.0,554.0,16.0,6.0,0.49878963931251513,0.23092955398082535,0,1.0,True,False,False,False,1.0
10975,5271590990,7,my colleagues understand that there are 7100+ islands in the philippines,1885.0,207.0,1.0,2.0,0.0,0.11458885941644563,0.004830917874396135,0,1.0,True,False,False,False,1.0
16079,6028982613,39,my colleagues' opinion is that there are billions of eggs produced commercially each year,5055.0,1167.0,83.0,3.0,1.0,0.2822947576656775,0.07112253641816624,0,1.0,True,False,False,False,0.0
12842,2048347208,31,our impression is that it is physically impossible for humans to keep their eyes open while sneezing,6526.0,1862.0,648.0,3.0,0.0,0.5845847379711921,0.34801288936627284,1,0.9411764705882353,True,False,False,True,1.0
8408,9648585259,59,a colleague located an article claiming that evidence from seymour island suggest that penguins were once 6 ft tall,191022.0,43143.0,4378.0,640.0,74.0,0.3054360230758761,0.1014764851772014,0,0.9473684210526315,False,False,False,False,1.0
15246,7634890704,7,"my family's feeling is that 99% of individuals in denmark, ireland and the united arab emirates have internet access",9425.0,1895.0,606.0,45.0,9.0,0.4101856763925729,0.31978891820580474,1,1.0,True,False,False,False,1.0
14446,3761729132,50,my friends' belief is that the average british driver will spend around 99 days of their life stuck in traffic,1953.0,255.0,14.0,2.0,0.0,0.15514592933947774,0.054901960784313725,0,1.0,True,False,False,False,0.0
13001,7374601868,44,our sentiment is that dolphins are mammals,4199.0,513.0,68.0,1.0,0.0,0.17146939747558942,0.13255360623781676,0,1.0,True,False,False,False,0.0
15091,7505061294,31,my family's understanding is that x-rays can’t distinguish real diamonds from fake ones,2543.0,505.0,156.0,7.0,0.0,0.3908769170271333,0.3089108910891089,1,1.0,True,False,False,False,0.0
18497,1267153065,26,"my colleagues are willing to bet that the odds of getting a set of cards referred to as a royal flush is 1 in 649,740",9126.0,3888.0,873.0,83.0,19.0,0.7444663598509752,0.22453703703703703,0,0.8846153846153846,True,False,False,False,1.0
1730,2163938358,13,a friend learned  in the media that american basketball legend wilt chamberlain never fouled out of a game,815360.0,74802.0,13850.0,927.0,241.0,0.1467020702511774,0.18515547712628005,0,0.9444444444444444,False,False,False,False,1.0
12569,5093583681,20,our opinion is that human eyeballs do not grow or change their size as they age,831.0,288.0,62.0,4.0,1.0,0.5872442839951865,0.2152777777777778,0,1.0,True,False,False,False,0.0
16855,2277949557,38,"my colleagues' belief is that your heart beats 100,000 times a day",7840.0,2531.0,175.0,23.0,3.0,0.3993622448979592,0.0691426313709996,0,1.0,True,False,False,False,0.0
17202,7982025818,52,my friends tell me that the longest recorded cricket match lasted 14 days,1200.0,119.0,43.0,1.0,0.0,0.20916666666666667,0.36134453781512604,1,1.0,True,True,False,True,1.0
10141,5676155318,47,my family believes that a double rainbow is a mirror image of the first rainbow,6318.0,231.0,44.0,4.0,1.0,0.059670781893004114,0.19047619047619047,0,0.8666666666666667,True,False,False,False,0.0
116,7373606171,24,a friend mentioned someone discovered that j is the only letter that doesn’t appear on the periodic table of elements,311719.0,71173.0,6362.0,496.0,163.0,0.29537179318552925,0.08938782965450381,0,0.9047619047619048,False,False,False,True,1.0
8757,5384945787,53,a friend discovered on the radio that ravens are always aware when someone is watching them,245967.0,132935.0,22623.0,1282.0,582.0,0.8367545239808593,0.17018091548501146,0,1.0,False,False,False,False,1.0
18602,4349208221,16,"i am convinced  that every three seconds, there is a birth taking place somewhere in the world",878.0,292.0,5.0,1.0,0.0,0.3530751708428246,0.017123287671232876,0,1.0,True,False,False,False,1.0
17879,9863630522,24,"my friends are willing to bet that there are almost 1.16 billion websites, but only about 200 million are active",8202.0,2475.0,144.0,60.0,0.0,0.3763716166788588,0.05818181818181818,0,0.9047619047619048,True,False,False,False,1.0
7589,3851704940,9,a friend discovered a study mentioning that your fingernails on your dominant hand grow faster,79905.0,25440.0,7262.0,575.0,105.0,0.6152431011826544,0.2854559748427673,0,0.8666666666666667,False,False,False,False,1.0
13673,5862580384,39,my friends' opinion is that india’s trains transport roughly 23 million passengers each day,5076.0,615.0,60.0,9.0,2.0,0.16272655634357763,0.0975609756097561,0,1.0,True,False,False,False,1.0
104,3817438444,23,a friend mentioned someone discovered that the concorde was the fastest passenger jet ever,956314.0,572469.0,154525.0,2902.0,298.0,1.0930991285289142,0.2699272799051128,0,0.9285714285714286,False,False,True,False,1.0
4795,4275664179,28,i learned  in a discussion board that avocados never ripen while they are still attached to the tree,888532.0,322887.0,122606.0,3441.0,1790.0,0.7930023904597696,0.37971798183265354,1,1.0,False,False,False,False,1.0
2713,8319686918,43,a friend read  in a discussion board that up to 20% of power outages in the u.s. are due to squirrels chewing through the lines,708953.0,249389.0,9029.0,73.0,9.0,0.3903121927687731,0.036204483758305296,0,0.8461538461538461,False,False,False,True,1.0
5606,4531469983,31,i read  in a discussion board a claim that humans physically cannot hum while holding your nose,708570.0,323985.0,79825.0,1640.0,329.0,0.8030794416924227,0.24638486349676683,0,0.9411764705882353,False,False,False,False,1.0
8370,6422884182,11,a colleague located an article mentioning that the world’s largest pyramid cannot be found in egypt,548482.0,146292.0,54282.0,1737.0,945.0,0.5765713368898159,0.3710524157165122,1,1.0,False,False,False,False,1.0
12251,1665430901,53,"my hypothesis is that starting in 1990, american basketball player michael jordan and the chicago bulls never had a three-game losing streak for eight years",9945.0,626.0,175.0,13.0,3.0,0.12026143790849673,0.2795527156549521,0,1.0,True,False,False,False,1.0
10415,6767503614,60,my friends think that 1 in 3 people have never used the internet,7426.0,3158.0,790.0,10.0,2.0,0.7489900350121196,0.25015832805573146,0,1.0,True,False,False,False,0.0
43,2869029922,46,someone shared with me that one strand of hair can hold up to 3 ounces of weight,704320.0,161850.0,19294.0,3077.0,566.0,0.326690992730577,0.11920914426938524,0,0.9411764705882353,False,False,False,False,1.0
14694,7534879111,53,my family's point of view is that snakes can predict earthquakes,6265.0,1958.0,775.0,46.0,11.0,0.7091779728651237,0.3958120531154239,1,1.0,True,False,False,False,1.0
8747,2566576344,12,a friend discovered on the radio that wild boars wash their food,949874.0,75683.0,26989.0,84.0,41.0,0.16526823557650805,0.3566058427916441,1,1.0,False,False,False,True,1.0
10936,4089015591,29,my colleagues believe that take out restaurants have been found in the remains of pompeii,5568.0,763.0,26.0,15.0,2.0,0.1598419540229885,0.03407601572739188,0,1.0,True,False,False,False,0.0
4982,5788820135,7,i learned  from the news that the sunset is blue on mars,82557.0,40377.0,1369.0,62.0,5.0,0.5412018363070363,0.03390544121653417,0,0.9166666666666666,False,False,False,True,1.0
18759,3655047065,49,my family is convinced  that no two tongue prints are alike,5090.0,445.0,11.0,2.0,0.0,0.09508840864440078,0.024719101123595506,0,1.0,True,False,False,False,1.0
